name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
2EXCEL (Lasham),EGHL,QLA,,False,True,True,2EXCEL (Lasham) (QLA / EGHL)
37 Brook Lane,,,X716,False,True,True,37 Brook Lane (X716)
47 Brook Lane WARSASH,,,X717,False,True,True,47 Brook Lane WARSASH (X717)
ABBOTSWOOD,,,A003,False,True,True,ABBOTSWOOD (A003)
ABERDEEN / DYCE,EGPD,ABZ,,False,True,True,ABERDEEN / DYCE (ABZ / EGPD)
ABERGAVENNY AIRFIELD,,,W044,False,True,True,ABERGAVENNY AIRFIELD (W044)
ABOYNE DEESIDE GLIDING CLUB,,,S014,False,True,True,ABOYNE DEESIDE GLIDING CLUB (S014)
ABP LANGPORT,,,G086,False,True,True,ABP LANGPORT (G086)
ACTON FARM,,,D012,False,True,True,ACTON FARM (D012)
ADVERSANE,,,A184,False,True,True,ADVERSANE (A184)
AINTREE RACECOURSE,,,M073,False,True,True,AINTREE RACECOURSE (M073)
AJ WALTER AVIATION LTD HQ HELIPAD,,,G175,False,True,True,AJ WALTER AVIATION LTD HQ HELIPAD (G175)
ALBA NORTH,EXAF,,,False,False,True,ALBA NORTH (EXAF)
ALCALINE TRANSPORT HELIPAD LYMPNE INDUSTRIAL EST.,,,X387,False,True,True,ALCALINE TRANSPORT HELIPAD LYMPNE INDUSTRIAL EST. (X387)
ALEXANDER HOUSE HOTEL (H),,,G167,False,True,True,ALEXANDER HOUSE HOTEL (H) (G167)
AMETHYST A1D,EXAG,,,False,False,True,AMETHYST A1D (EXAG)
Apperknowle/ Coal Aston,,,X720,False,True,True,Apperknowle/ Coal Aston (X720)
ASCOT RACECOURSE,EGLT,,,False,True,True,ASCOT RACECOURSE (EGLT)
ASHCROFT,EGCR,,,False,True,True,ASHCROFT (EGCR)
ASHURST WOOD,,,D266,False,True,True,ASHURST WOOD (D266)
ATHERSTONE / ALSCOT PARK (Long Marston),EGBL,,,False,True,True,ATHERSTONE / ALSCOT PARK (Long Marston) (EGBL)
AUDLEY END,,,E178,False,True,True,AUDLEY END (E178)
